SYMBOL	ENSEMBL	ENTREZID	GENENAME
ZNF502	ENSG00000281448	91392	zinc finger protein 502
NECAB3	ENSG00000125967	63941	N-terminal EF-hand calcium binding protein 3
KIAA1429	NA	NA	NA
CEACAM7	ENSG00000007306	1087	carcinoembryonic antigen related cell adhesion molecule 7
CEACAM7	ENSG00000280501	1087	carcinoembryonic antigen related cell adhesion molecule 7
OR8K3	ENSG00000280314	219473	olfactory receptor family 8 subfamily K member 3 (gene/pseudogene)
OR8K3	ENSG00000262755	219473	olfactory receptor family 8 subfamily K member 3 (gene/pseudogene)
KLHDC9	ENSG00000162755	126823	kelch domain containing 9
CDH12	ENSG00000154162	1010	cadherin 12
GAPT	ENSG00000175857	202309	GRB2 binding adaptor protein, transmembrane
COPG2	ENSG00000158623	26958	coatomer protein complex subunit gamma 2
NELFB	ENSG00000188986	25920	negative elongation factor complex member B
GLIPR1	ENSG00000139278	11010	GLI pathogenesis related 1
ZSWIM2	ENSG00000163012	151112	zinc finger SWIM-type containing 2
KLHDC8A	ENSG00000162873	55220	kelch domain containing 8A
NPTX2	ENSG00000106236	4885	neuronal pentraxin 2
DHFR	ENSG00000228716	1719	dihydrofolate reductase
AMER2	ENSG00000165566	219287	APC membrane recruitment protein 2
C1orf189	ENSG00000163263	388701	chromosome 1 open reading frame 189
SLC15A4	ENSG00000139370	121260	solute carrier family 15 member 4
OR8H1	ENSG00000181693	219469	olfactory receptor family 8 subfamily H member 1
OR8H1	ENSG00000262611	219469	olfactory receptor family 8 subfamily H member 1
ZNF415	ENSG00000170954	55786	zinc finger protein 415
SLC25A12	ENSG00000115840	8604	solute carrier family 25 member 12
SLC6A4	ENSG00000108576	6532	solute carrier family 6 member 4
C5orf15	ENSG00000113583	56951	chromosome 5 open reading frame 15
ERBB2	ENSG00000141736	2064	erb-b2 receptor tyrosine kinase 2
C7orf50	ENSG00000146540	84310	chromosome 7 open reading frame 50
LIPF	ENSG00000182333	8513	lipase F, gastric type
CMYA5	ENSG00000164309	202333	cardiomyopathy associated 5
CASC1	ENSG00000118307	55259	cancer susceptibility 1
ADGRA2	ENSG00000020181	25960	adhesion G protein-coupled receptor A2
CLASP1	ENSG00000074054	23332	cytoplasmic linker associated protein 1
YARS	ENSG00000134684	8565	tyrosyl-tRNA synthetase
ZW10	ENSG00000086827	9183	zw10 kinetochore protein
SEC61A1	ENSG00000058262	29927	Sec61 translocon alpha 1 subunit
CHST8	ENSG00000124302	64377	carbohydrate sulfotransferase 8
SECISBP2L	ENSG00000138593	9728	SECIS binding protein 2 like
AFTPH	ENSG00000119844	54812	aftiphilin
C19orf48	ENSG00000167747	84798	chromosome 19 open reading frame 48
PPP2R1A	ENSG00000105568	5518	protein phosphatase 2 scaffold subunit Aalpha
CHRNA4	ENSG00000101204	1137	cholinergic receptor nicotinic alpha 4 subunit
CHST11	ENSG00000171310	50515	carbohydrate sulfotransferase 11
NFU1	ENSG00000169599	27247	NFU1 iron-sulfur cluster scaffold
SPIN1	ENSG00000106723	10927	spindlin 1
FAM229A	ENSG00000225828	100128071	family with sequence similarity 229 member A
GPR15	ENSG00000154165	2838	G protein-coupled receptor 15
ABRACL	ENSG00000146386	58527	ABRA C-terminal like
WDR78	ENSG00000152763	79819	WD repeat domain 78
APCDD1	ENSG00000154856	147495	APC down-regulated 1
CABP1	ENSG00000157782	9478	calcium binding protein 1
PON1	ENSG00000005421	5444	paraoxonase 1
AWAT1	ENSG00000204195	158833	acyl-CoA wax alcohol acyltransferase 1
PGLYRP4	ENSG00000163218	57115	peptidoglycan recognition protein 4
H2AFY2	ENSG00000099284	55506	H2A histone family member Y2
KRTAP9-1	ENSG00000240542	728318	keratin associated protein 9-1
AK4	ENSG00000162433	205	adenylate kinase 4
CT47A10	ENSG00000224089	728036	cancer/testis antigen family 47, member A10
SPACA3	ENSG00000141316	124912	sperm acrosome associated 3
C2orf88	ENSG00000187699	84281	chromosome 2 open reading frame 88
URB1	ENSG00000142207	9875	URB1 ribosome biogenesis homolog
NUDT16L1	ENSG00000168101	84309	nudix hydrolase 16 like 1
RAE1	ENSG00000101146	8480	ribonucleic acid export 1
RNGTT	ENSG00000111880	8732	RNA guanylyltransferase and 5'-phosphatase
SYNGR4	ENSG00000105467	23546	synaptogyrin 4
ELAC1	ENSG00000141642	55520	elaC ribonuclease Z 1
IRGC	ENSG00000124449	56269	immunity related GTPase cinema
NCR1	ENSG00000189430	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000275156	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000278362	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000273535	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000277442	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000276450	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000278025	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000275521	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000277334	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000275637	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000277629	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000277824	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000273916	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000275822	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000274053	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000273506	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000284113	9437	natural cytotoxicity triggering receptor 1
NCR1	ENSG00000284208	9437	natural cytotoxicity triggering receptor 1
KCTD2	ENSG00000180901	23510	potassium channel tetramerization domain containing 2
C9	ENSG00000113600	735	complement C9
CPPED1	ENSG00000103381	55313	calcineurin like phosphoesterase domain containing 1
CCL7	ENSG00000108688	6354	C-C motif chemokine ligand 7
ZNF444	ENSG00000167685	55311	zinc finger protein 444
REG3G	ENSG00000143954	130120	regenerating family member 3 gamma
AKAP9	ENSG00000127914	10142	A-kinase anchoring protein 9
BICC1	ENSG00000122870	80114	BicC family RNA binding protein 1
TMEM182	ENSG00000170417	130827	transmembrane protein 182
CHCHD4	ENSG00000163528	131474	coiled-coil-helix-coiled-coil-helix domain containing 4
DMBX1	ENSG00000197587	127343	diencephalon/mesencephalon homeobox 1
ILF2	ENSG00000143621	3608	interleukin enhancer binding factor 2
DTNA	ENSG00000134769	1837	dystrobrevin alpha
TXNDC9	ENSG00000115514	10190	thioredoxin domain containing 9
ABCC9	ENSG00000069431	10060	ATP binding cassette subfamily C member 9
MBD1	ENSG00000141644	4152	methyl-CpG binding domain protein 1
PCSK9	ENSG00000169174	255738	proprotein convertase subtilisin/kexin type 9
KRTAP9-2	ENSG00000239886	83899	keratin associated protein 9-2
KRTAP9-2	ENSG00000262573	83899	keratin associated protein 9-2
KRTAP9-2	ENSG00000263090	83899	keratin associated protein 9-2
GPR157	ENSG00000180758	80045	G protein-coupled receptor 157
SIX5	ENSG00000177045	147912	SIX homeobox 5
ST7	ENSG00000004866	7982	suppression of tumorigenicity 7
PTER	ENSG00000165983	9317	phosphotriesterase related
RDM1	ENSG00000278023	201299	RAD52 motif containing 1
RDM1	ENSG00000276432	201299	RAD52 motif containing 1
NBAS	ENSG00000151779	51594	neuroblastoma amplified sequence
LRRC8A	ENSG00000136802	56262	leucine rich repeat containing 8 VRAC subunit A
FAM229B	ENSG00000203778	619208	family with sequence similarity 229 member B
RAB11B	ENSG00000185236	9230	RAB11B, member RAS oncogene family
C1QTNF4	ENSG00000172247	114900	C1q and TNF related 4
C1QTNF4	ENSG00000284838	114900	C1q and TNF related 4
OR2F1	ENSG00000213215	26211	olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)
OR2F1	ENSG00000284866	26211	olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)
ACTN1	ENSG00000072110	87	actinin alpha 1
Mar-05	NA	NA	NA
SURF2	ENSG00000148291	6835	surfeit 2
SURF2	ENSG00000281024	6835	surfeit 2
FGF14	ENSG00000102466	2259	fibroblast growth factor 14
ACOT6	ENSG00000205669	641372	acyl-CoA thioesterase 6
KIAA1614	ENSG00000135835	57710	KIAA1614
PSMD6	ENSG00000163636	9861	proteasome 26S subunit, non-ATPase 6
C1orf168	NA	NA	NA
NUDT12	ENSG00000112874	83594	nudix hydrolase 12
CRY2	ENSG00000121671	1408	cryptochrome circadian regulator 2
NAF1	ENSG00000145414	92345	nuclear assembly factor 1 ribonucleoprotein
XIAP	ENSG00000101966	331	X-linked inhibitor of apoptosis
SNUPN	ENSG00000169371	10073	snurportin 1
RANGAP1	ENSG00000100401	5905	Ran GTPase activating protein 1
SYCP2L	ENSG00000153157	221711	synaptonemal complex protein 2 like
SMARCB1	ENSG00000099956	6598	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
SMARCB1	ENSG00000275837	6598	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
HINT2	ENSG00000137133	84681	histidine triad nucleotide binding protein 2
CPD	ENSG00000108582	1362	carboxypeptidase D
NAT6	NA	NA	NA
HLA-DRB1	ENSG00000196126	3123	major histocompatibility complex, class II, DR beta 1
HLA-DRB1	ENSG00000206240	3123	major histocompatibility complex, class II, DR beta 1
HLA-DRB1	ENSG00000236884	3123	major histocompatibility complex, class II, DR beta 1
HLA-DRB1	ENSG00000206306	3123	major histocompatibility complex, class II, DR beta 1
HLA-DRB1	ENSG00000228080	3123	major histocompatibility complex, class II, DR beta 1
HLA-DRB1	ENSG00000229074	3123	major histocompatibility complex, class II, DR beta 1
SHE	ENSG00000169291	126669	Src homology 2 domain containing E
BARD1	ENSG00000138376	580	BRCA1 associated RING domain 1
WWP1	ENSG00000123124	11059	WW domain containing E3 ubiquitin protein ligase 1
RWDD3	ENSG00000122481	25950	RWD domain containing 3
ZNF43	ENSG00000198521	7594	zinc finger protein 43
ZNF43	ENSG00000279566	7594	zinc finger protein 43
C17orf50	ENSG00000270806	146853	chromosome 17 open reading frame 50
GK5	ENSG00000175066	256356	glycerol kinase 5
PTGER4	ENSG00000171522	5734	prostaglandin E receptor 4
PRR9	ENSG00000203783	574414	proline rich 9
TCP10	ENSG00000203690	6953	t-complex 10
CACNA1B	ENSG00000148408	774	calcium voltage-gated channel subunit alpha1 B
IQGAP1	ENSG00000140575	8826	IQ motif containing GTPase activating protein 1
SUMO4	ENSG00000177688	387082	small ubiquitin-like modifier 4
OR52D1	ENSG00000181609	390066	olfactory receptor family 52 subfamily D member 1
CCDC83	ENSG00000150676	220047	coiled-coil domain containing 83
MKL2	NA	NA	NA
MAP4K4	ENSG00000071054	9448	mitogen-activated protein kinase kinase kinase kinase 4
SIGMAR1	ENSG00000147955	10280	sigma non-opioid intracellular receptor 1
LACRT	ENSG00000135413	90070	lacritin
PGBD3	ENSG00000225830	267004	piggyBac transposable element derived 3
PHOSPHO1	ENSG00000173868	162466	phosphoethanolamine/phosphocholine phosphatase
DEFB118	ENSG00000131068	117285	defensin beta 118
MALL	ENSG00000144063	7851	mal, T cell differentiation protein like
PBX3	ENSG00000167081	5090	PBX homeobox 3
CLDN11	ENSG00000013297	5010	claudin 11
SYT14	ENSG00000143469	255928	synaptotagmin 14
RND1	ENSG00000172602	27289	Rho family GTPase 1
ZCCHC6	NA	NA	NA
LHFPL3	ENSG00000187416	375612	LHFPL tetraspan subfamily member 3
ZNF304	ENSG00000131845	57343	zinc finger protein 304
HS3ST2	ENSG00000122254	9956	heparan sulfate-glucosamine 3-sulfotransferase 2
REEP3	ENSG00000165476	221035	receptor accessory protein 3
BOP1	ENSG00000261236	23246	block of proliferation 1
BOP1	ENSG00000285301	23246	block of proliferation 1
DYNLRB1	ENSG00000125971	83658	dynein light chain roadblock-type 1
MCM5	ENSG00000100297	4174	minichromosome maintenance complex component 5
DDOST	ENSG00000244038	1650	dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
SNRPD3	ENSG00000100028	6634	small nuclear ribonucleoprotein D3 polypeptide
SATB1	ENSG00000182568	6304	SATB homeobox 1
CA1	ENSG00000133742	759	carbonic anhydrase 1
PAGE2	ENSG00000234068	203569	PAGE family member 2
OR8D4	ENSG00000181518	338662	olfactory receptor family 8 subfamily D member 4
DRD2	ENSG00000149295	1813	dopamine receptor D2
TBATA	ENSG00000166220	219793	thymus, brain and testes associated
GYPA	ENSG00000170180	2993	glycophorin A (MNS blood group)
KRTAP12-3	ENSG00000205439	386683	keratin associated protein 12-3
PTH1R	ENSG00000160801	5745	parathyroid hormone 1 receptor
EVI2A	ENSG00000126860	2123	ecotropic viral integration site 2A
ASPH	ENSG00000198363	444	aspartate beta-hydroxylase
MED4	ENSG00000136146	29079	mediator complex subunit 4
PIEZO1	ENSG00000103335	9780	piezo type mechanosensitive ion channel component 1
SRD5A2	ENSG00000277893	6716	steroid 5 alpha-reductase 2
NUPR1	ENSG00000176046	26471	nuclear protein 1, transcriptional regulator
EVA1B	ENSG00000142694	55194	eva-1 homolog B
SLC47A1	ENSG00000142494	55244	solute carrier family 47 member 1
TULP1	ENSG00000112041	7287	tubby like protein 1
OR5B17	ENSG00000197786	219965	olfactory receptor family 5 subfamily B member 17
AKAP1	ENSG00000121057	8165	A-kinase anchoring protein 1
POF1B	ENSG00000124429	79983	POF1B, actin binding protein
WNT16	ENSG00000002745	51384	Wnt family member 16
ALDOA	ENSG00000149925	226	aldolase, fructose-bisphosphate A
ALDOA	ENSG00000285043	226	aldolase, fructose-bisphosphate A
TDRD9	ENSG00000156414	122402	tudor domain containing 9
ADCK2	ENSG00000133597	90956	aarF domain containing kinase 2
CCER1	ENSG00000197651	196477	coiled-coil glutamate rich protein 1
HIST1H2BA	ENSG00000146047	255626	histone cluster 1 H2B family member a
FGL2	ENSG00000127951	10875	fibrinogen like 2
ATG4D	ENSG00000130734	84971	autophagy related 4D cysteine peptidase
ZNF250	ENSG00000196150	58500	zinc finger protein 250
LIPA	ENSG00000107798	3988	lipase A, lysosomal acid type
SART3	ENSG00000075856	9733	spliceosome associated factor 3, U4/U6 recycling protein
DNAJC7	ENSG00000168259	7266	DnaJ heat shock protein family (Hsp40) member C7
DDX5	ENSG00000108654	1655	DEAD-box helicase 5
POLD2	ENSG00000106628	5425	DNA polymerase delta 2, accessory subunit
APOBEC4	ENSG00000173627	403314	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4
PKD1	ENSG00000008710	5310	polycystin 1, transient receptor potential channel interacting
NOP9	ENSG00000196943	161424	NOP9 nucleolar protein
NOP9	ENSG00000285326	161424	NOP9 nucleolar protein
NRK	ENSG00000123572	203447	Nik related kinase
IRF7	ENSG00000185507	3665	interferon regulatory factor 7
IRF7	ENSG00000276561	3665	interferon regulatory factor 7
PPP2R2B	ENSG00000156475	5521	protein phosphatase 2 regulatory subunit Bbeta
SRD5A1	ENSG00000145545	6715	steroid 5 alpha-reductase 1
CXorf58	ENSG00000165182	254158	chromosome X open reading frame 58
OR2Z1	ENSG00000181733	284383	olfactory receptor family 2 subfamily Z member 1
NUB1	ENSG00000013374	51667	negative regulator of ubiquitin like proteins 1
MAP2K3	ENSG00000034152	5606	mitogen-activated protein kinase kinase 3
SMIM5	ENSG00000204323	643008	small integral membrane protein 5
PLCB1	ENSG00000182621	23236	phospholipase C beta 1
PPFIA3	ENSG00000177380	8541	PTPRF interacting protein alpha 3
TRPC1	ENSG00000144935	7220	transient receptor potential cation channel subfamily C member 1
FAM214A	ENSG00000047346	56204	family with sequence similarity 214 member A
NT5C	ENSG00000125458	30833	5', 3'-nucleotidase, cytosolic
CPSF3L	NA	NA	NA
TAGLN3	ENSG00000144834	29114	transgelin 3
KRT82	ENSG00000161850	3888	keratin 82
CAPN3	ENSG00000092529	825	calpain 3
LYSMD2	ENSG00000140280	256586	LysM domain containing 2
ZIC4	ENSG00000174963	84107	Zic family member 4
APOL6	ENSG00000221963	80830	apolipoprotein L6
THNSL1	ENSG00000185875	79896	threonine synthase like 1
OR52E6	ENSG00000205409	390078	olfactory receptor family 52 subfamily E member 6
TBC1D24	ENSG00000162065	57465	TBC1 domain family member 24
CCDC103	ENSG00000167131	388389	coiled-coil domain containing 103
CCDC103	ENSG00000214447	388389	coiled-coil domain containing 103
SMIM14	ENSG00000163683	201895	small integral membrane protein 14
FCHSD2	ENSG00000137478	9873	FCH and double SH3 domains 2
OR11A1	ENSG00000204694	26531	olfactory receptor family 11 subfamily A member 1
OR11A1	ENSG00000232289	26531	olfactory receptor family 11 subfamily A member 1
OR11A1	ENSG00000234347	26531	olfactory receptor family 11 subfamily A member 1
OR11A1	ENSG00000230780	26531	olfactory receptor family 11 subfamily A member 1
OR11A1	ENSG00000206472	26531	olfactory receptor family 11 subfamily A member 1
OR11A1	ENSG00000206517	26531	olfactory receptor family 11 subfamily A member 1
OR11A1	ENSG00000223898	26531	olfactory receptor family 11 subfamily A member 1
OR11A1	ENSG00000237258	26531	olfactory receptor family 11 subfamily A member 1
OR8G5	ENSG00000255298	219865	olfactory receptor family 8 subfamily G member 5
DPY30	ENSG00000162961	84661	dpy-30, histone methyltransferase complex regulatory subunit
KLHL42	ENSG00000087448	57542	kelch like family member 42
UGT1A4	ENSG00000244474	54657	UDP glucuronosyltransferase family 1 member A4
CAMKV	ENSG00000164076	79012	CaM kinase like vesicle associated
OR5K3	ENSG00000206536	403277	olfactory receptor family 5 subfamily K member 3
NAAA	ENSG00000138744	27163	N-acylethanolamine acid amidase
GABRG1	ENSG00000163285	2565	gamma-aminobutyric acid type A receptor gamma1 subunit
SEC22B	ENSG00000265808	9554	SEC22 homolog B, vesicle trafficking protein (gene/pseudogene)
CHST12	ENSG00000136213	55501	carbohydrate sulfotransferase 12
VAPB	ENSG00000124164	9217	VAMP associated protein B and C
TMEM231	ENSG00000205084	79583	transmembrane protein 231
PVR	ENSG00000073008	5817	poliovirus receptor
PALB2	ENSG00000083093	79728	partner and localizer of BRCA2
MTHFD2	ENSG00000065911	10797	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
PRKCI	ENSG00000163558	5584	protein kinase C iota
IL2	ENSG00000109471	3558	interleukin 2
ABI3BP	ENSG00000154175	25890	ABI family member 3 binding protein
PER2	ENSG00000132326	8864	period circadian regulator 2
MICU2	ENSG00000165487	221154	mitochondrial calcium uptake 2
CENPC	ENSG00000145241	1060	centromere protein C
FAM181B	ENSG00000182103	220382	family with sequence similarity 181 member B
TMEM18	ENSG00000151353	129787	transmembrane protein 18
DPPA2	ENSG00000163530	151871	developmental pluripotency associated 2
WDR77	ENSG00000116455	79084	WD repeat domain 77
NUP210L	ENSG00000143552	91181	nucleoporin 210 like
OR9G4	ENSG00000172457	283189	olfactory receptor family 9 subfamily G member 4
OR9G4	ENSG00000262647	283189	olfactory receptor family 9 subfamily G member 4
EIF2B4	ENSG00000115211	8890	eukaryotic translation initiation factor 2B subunit delta
TBX2	ENSG00000121068	6909	T-box 2
MED30	ENSG00000164758	90390	mediator complex subunit 30
DISP1	ENSG00000154309	84976	dispatched RND transporter family member 1
DISP1	ENSG00000228106	84976	dispatched RND transporter family member 1
TNFAIP6	ENSG00000123610	7130	TNF alpha induced protein 6
OR9Q1	ENSG00000186509	219956	olfactory receptor family 9 subfamily Q member 1
OGT	ENSG00000147162	8473	O-linked N-acetylglucosamine (GlcNAc) transferase
FTH1P18	NA	441490	ferritin heavy chain 1 pseudogene 18
TMSB4X	ENSG00000205542	7114	thymosin beta 4 X-linked
YIPF2	ENSG00000130733	78992	Yip1 domain family member 2
SOWAHA	ENSG00000198944	134548	sosondowah ankyrin repeat domain family member A
PCYOX1	ENSG00000116005	51449	prenylcysteine oxidase 1
KLRK1	ENSG00000213809	22914	killer cell lectin like receptor K1
DSC3	ENSG00000134762	1825	desmocollin 3
GPN3	ENSG00000111231	51184	GPN-loop GTPase 3
UQCR11	ENSG00000127540	10975	ubiquinol-cytochrome c reductase, complex III subunit XI
LMX1B	ENSG00000136944	4010	LIM homeobox transcription factor 1 beta
